ID,Dept,Number,Call,Credits,Taken,Undergrads,Name,Department,Culpa,,
COMSW4995,COMS,4995,27157,3,439,94,Business of Software Deli,Computer Science,5890,,
QMSSG4016,,,73734,3,1,0,Regession Model-Temp Process,Other,,,
QMSSG4070,,,70006,4,4,0,Gis and Spatial Analysis-Soc Sci,Other,,,
STATW4105,,,16629,3,150,38,Probability,Statistics,4217,,
STATW4701,,,63823,3,149,10,Exploratory Data Analysis/Visual,Statistics,,,
APMAE4001,APAM,4001,96601,3,210,23,Principles of Applied Math,Applied Physics/Math,3491,,
ECBME4060,ELEN,4060,10740,3,94,12,Intro Genomic Info Sci and ,Other,,,
ELENE4312,ELEN,4312,67323,3,227,22,Analog Electronic Circuits,Electrical Engineering,5827,,
COMSW4118,COMS,4118,62703,3,821,158,Operating Systems I,Computer Science,2384,,
CBMFW4761,COMS,4761,68461,3,63,21,Computational Genomics,Other,1967,,
COMSW4156,COMS,4156,67200,3,260,41,Advanced Software Engineering,Computer Science,1616,,
CSEEW4824,COMS,4824,13529,3,255,41,Computer Architecture,Computer Science,5392,,
COMSE6998,COMS,6998,92401,3,2330,165,System-On-Chip Design,Computer Science,2767,,
COMSW4187,COMS,4187,22033,3,175,47,Security Arch and Engineering,Computer Science,4907,,
COMSW4180,COMS,4180,66599,3,122,30,Network Security,Computer Science,2401,,
IEORE4571,IEOR,4571,73334,3,313,25,System Engi Tools/Methods,Industrial Eng/Operations Res.,6824,,
COMSE6125,COMS,6125,86288,3,37,4,Web-Enhanced Information Mgmt,Computer Science,2869,,
COMSW4705,COMS,4705,77113,3,527,137,Natural Language Processing,Computer Science,4903,,
IEORE4998,ENGI,4998,91346,3,395,114,Managing Tech Innovation,Industrial Eng/Operations Res.,6192,,
EECSE6893,ELEN,6893,91947,3,358,33,Tpc: Big Data Analytics,Other,,,
IEORE4007,VDEO,4007,17900,3,382,11,Optimization Models and Met,Industrial Eng/Operations Res.,,,
COMSW4701,COMS,4701,90950,3,449,82,Artificial Intelligence,Computer Science,26,,
COMSE6901,COMS,6901,16201,3,700,28,Projects In Computer Science,Computer Science,6857,,
CIENE9800,CEEM,9800,29293,3,6,2,Doctoral Research Instruction,Civil Engineering,,,
CIENE9900,CEEM,9900,11952,0,11,9,Doctoral Dissertation,Civil Engineering,,,
EECSE6895,ELEN,6895,86648,3,121,6,Topic Adv Big Data Analy,Other,,,
ELENE6886,ELEN,6886,11439,3,53,1,Topic: Sparse Rep/Hi-Dim,Electrical Engineering,,,
COMSW4236,COMS,4236,73649,3,95,16,Intro-Computational Complexity,Computer Science,462,,
CSEEW4840,COMS,4840,63058,3,302,27,Embedded Systems,Computer Science,,,
CSEEE6824,COMS,6824,87699,3,24,0,Parallel Computer Arch,Computer Science,,,
ELENE4401,ELEN,4401,19260,3,20,2,Wave Trans and Fiber Optics,Electrical Engineering,5362,,
EEMEE4601,MECE,4601,19706,3,166,19,Digital Control Systems,Electrical Engineering,,,
ELENE4815,ELEN,4815,77102,3,191,27,Random Signals and Noise,Electrical Engineering,6242,,
ELENE6770,ELEN,6770,61912,3,217,12,Topic: Next Gen Networks,Electrical Engineering,,,
ELENE6717,ELEN,6717,17601,3,80,4,Information Theory,Electrical Engineering,,,
ELENE6767,ELEN,6767,28286,3,125,7,"Internet Econ, Eng and Society",Electrical Engineering,,,
IEORE4701,VDEO,4701,13499,3,193,6,Stochastic Models For Fin Eng,Industrial Eng/Operations Res.,,,
ECONW3211,,,87853,3,437,229,Intermediate Microeconomics,Economics,1123,,
IEORE4307,IEOR,4307,66647,3,82,31,Appl Statistical Models In Or,Industrial Eng/Operations Res.,6197,,
MATHE1210,MATH,1210,96496,3,429,328,Ordinry Differential Equa,Math,5372,,
MUSIW1526,,,23374,1,36,20,Jazz Saxopohone Instructi,Music,,,
MUSIV1619,,,61250,1,54,32,Columbia Univ Jazz Ensemble,Music,,,
MUSIV2020,,,72947,3,130,92,"Salsa, Soca, Regggae",Music,273,,
PHYSC1402,,,65896,3,954,642,Intro Elec/Magnetsm and Optcs,Physics,1808,,
ECIEW4280,,,64717,3,43,1,Corporate Finance,Other,6373,,
ECONW3213,,,61714,3,450,236,Intermediate Macroeconomics,Economics,3633,,
IEORE3106,IEOR,3106,14845,3,335,188,Intro to or Stochastic Mo,Industrial Eng/Operations Res.,2811,,
IEORE3608,IEOR,3608,73783,4,328,184,Intro-Mathematical Programming,Industrial Eng/Operations Res.,2337,,
IEORE4003,VDEO,4003,16050,3,362,154,Industrial Economics,Industrial Eng/Operations Res.,3082,,
MUSIW1525,,,61400,1,43,22,Jazz Saxophone Instructio,Music,,,
MUSIV1618,,,70049,1,46,28,Columbia Univ Jazz Ensemble,Music,,,
PHEDC1001,,,81779,1,1254,696,Physical Ed: Squash,Physical Education,5164,,
A&HMY4161,,,51818,2,3,0,Saxophone Inst: Non-Major,Other,,,
HUMAW1123,,,65596,3,655,386,Masterpieces of Western Music,Core,2721,,
IEORE3402,IEOR,3402,92346,4,423,193,Productn-Inventory Plan-Contrl,Industrial Eng/Operations Res.,,,
IEORE4404,IEOR,4404,86096,3,1242,181,Simulation,Industrial Eng/Operations Res.,2244,,
IEORE4700,IEOR,4700,67946,3,620,72,Intro to Financial Engineering,Industrial Eng/Operations Res.,2482,,
COMSW4111,COMS,4111,25538,3,1273,346,Introduction to Databases,Computer Science,664,,
IEORE4207,IEOR,4207,74638,3,123,36,Human Factors: Performance,Industrial Eng/Operations Res.,,,
IEORE4520,IEOR,4520,67001,3,132,13,Applied Systems Engineering,Industrial Eng/Operations Res.,,,
IEORE4705,IEOR,4705,88283,3,244,23,Studies In Operation Research,Industrial Eng/Operations Res.,,,
PORTW1101,,,23147,4,18,5,Elementary Portuguese I,Spanish & Portuguese,716,,
ECONV3265,,,63500,3,77,30,Money and Banking,Economics,36,,
