ID,Dept,Number,Call,Credits,Taken,Undergrads,Name,,
PHEDC1002,,,23552,1,1781,857,Physical Ed: Volleyball,,
ENGIE1102,ENGI,1102,28602,4,1525,755,The Art of Engineering,,
ECONW1105,,,61946,4,1253,724,Principles of Economics,,
ECONW1155,,,71302,0,1235,713,Principles of Economics-Disc,,
MATHV1201,,,60925,3,1361,707,Calculus III,,
PHEDC1001,,,81779,1,1254,696,Physical Ed: Squash,,
PHYSC1402,,,65896,3,954,642,Intro Elec/Magnetsm and Optcs,,
ENGLC1010,,,76896,3,1222,630,University Writing,,
HUMAW1121,,,28473,3,823,504,Masterpieces of Western Art,,
MATHV1202,,,83441,3,817,499,Calculus IV,,
CHEMW1500,,,92078,3,696,420,General Chemistry Laboratory,,
CHEMW1501,,,62598,0,697,420,General Chemistry Lab-Lecture,,
CHEMC1403,,,17816,3,666,396,General Chemistry I-Lectures,,
HUMAW1123,,,65596,3,655,386,Masterpieces of Western Music,,
ELENE1201,ELEN,1201,98350,3,750,376,Intro-Electrical Engineering,,
MATHV2010,,,15045,3,656,369,Linear Algebra,,
COMSW3134,COMS,3134,77536,3,763,366,Data Structures In Java,,
PHYSC1401,,,29791,3,588,352,Intro to Mechanics and Thermo,,
APMAE2101,APAM,2101,27534,3,579,348,Intro to Applied Mathematics,,
COMSW4111,COMS,4111,25538,3,1273,346,Introduction to Databases,,
COMSW3203,COMS,3203,60869,3,617,344,Combinatorics/Graph Theor,,
COMSW1004,COMS,1004,93658,3,605,340,Intro-Comput Sci/Prog In Java,,
COMSW3157,COMS,3157,88537,4,661,332,Advanced Programming,,
MATHE1210,MATH,1210,96496,3,429,328,Ordinry Differential Equa,,
CSEEW3827,COMS,3827,10788,3,652,313,Fundamentals of Computer Org,,
MATHV1102,,,21996,3,629,308,Calculus II,,
PHYSC1493,,,72792,3,332,306,Intro to Experimental Phys-Lab,,
ENGIE1006,COMS,1006,13542,3,772,295,Intro to Comp For Eng/App Sci,,
COMSW3261,COMS,3261,99700,3,502,291,Computer Science Theory,,
IEORE2261,IEOR,2261,66850,3,475,282,Intro to Accounting and Finance,,
SIEOW4150,,,23202,3,1081,268,Intro to Probability and St,,
ENMEE3105,MECE,3105,70800,4,550,267,Mechanics I,,
CHEMC1404,,,78147,3,273,239,General Chemistry II-Lectures,,
ECONW3213,,,61714,3,450,236,Intermediate Macroeconomics,,
PHYSC1602,,,12797,3,327,230,"Physics II: Thermo, Elec and Mag",,
ECONW3211,,,87853,3,437,229,Intermediate Microeconomics,,
SIEOW3600,,,68447,4,442,228,Intro Probability/Statistics,,
PHYSC1403,,,72088,3,266,227,Intro-Classcl and Quantum Waves,,
