ID,Dept,Number,Call,Credits,Taken,Undergrads,Name,Department,Culpa,,,,
A&HY4060,,,51502,3,2,0,Youth Cultures,Other,,,,,
A&HAY4084,,,51505,3,1,0,Art and Technology,Other,,,,,
A&HAY4092,,,50547,2,11,0,Intro to Ceramics,Other,,,,,
A&HAY5090,,,50656,3,8,0,Museum Edctn Iss II,Other,,,,,
A&HAY5092,,,50550,2,15,0,Advanced Ceramics,Other,,,,,
A&HAY5093,,,51128,2,2,0,Advanced Sculpture,Other,,,,,
A&HAY5804,,,50579,2,3,0,Museums As Resource: Met Wkshp,Other,,,,,
A&HAY6906,,,50520,3,17,0,Studio Work-Art/Educ: Ceramics,Other,,,,,
A&HGY4199,,,51978,3,6,0,Issues: Cultural Policy,Other,,,,,
A&HGY5175,,,50093,3,1,0,Business Policy Planning-Arts,Other,,,,,
A&HHY4060,,,51953,2,1,0,History of Education In Nyc,Other,,,,,
A&HHY5076,,,51859,3,3,0,History of African American Ed,Other,,,,,
A&HHY6199,,,51919,2,2,0,Iss: Harlem Digtl Rsrch C,Other,,,,,
A&HLY4106,,,51106,3,1,0,Disc Anly: Base Crse/Esol Pedgy,Other,,,,,
A&HMY4150,,,51557,3,211,0,Instrumental Music Instructn I,Other,,,,,
A&HMY4153,,,51566,2,2,0,Cello Instruction-Non-Major,Other,,,,,
A&HMY4161,,,51572,2,3,0,Saxophone Inst: Non-Major,Other,,,,,
A&HMY4166,,,51576,2,11,0,Guitar Inst: Non-Major,Other,,,,,
A&HMY4168,,,51589,2,1,0,Composition Inst: Non-Major,Other,,,,,
A&HMY4350,,,51582,2,39,0,Piano Instruction: Non-Majors,Other,,,,,
A&HMY4352,,,51584,2,67,0,Voice Instruction: Non-Majors,Other,,,,,
A&HMY5025,,,51800,3,2,0,Creativity/Prob Solv-Music Ed,Other,,,,,
A&HMY5026,,,50632,3,2,0,Music Skills and Creative Strgy,Other,,,,,
ACCTB6001,,,66499,0,2390,0,Accounting I: Financial Accoun,Other,,,,,
ACCTB7008,,,68461,3,78,0,Earnings Quality and Fundamental,Other,,,,,
ACCTB7010,,,14992,3,92,0,Fundamental Analysis For Inves,Other,,,,,
ACCTB8007,,,24668,1,499,0,Financial Planning and Analysis,Other,,,,,
ACCTB8008,,,29931,3,760,0,Earnings Quality and Fundamental,Other,,,,,
ACCTB8009,,,63145,3,919,0,Financial Statement Analysis,Other,,,,,
ACCTB8010,,,76104,3,158,0,Fundamental Analysis For Inves,Other,,,,,
ACCTB9008,,,77244,3,7,0,(Phd) Analytical Topics In Acc,Other,,,,,
ACCTB5001,,,60871,3,938,0,Accounting I: Financial Accoun,Other,,,,,
ACCTB5909,,,71254,3,6,0,Financial Statement Analysis,Other,,,,,
ACLGV2028,,,73696,3,404,0,Intro to 21St Cent Archaeology,Other,,,,,
ACLGV2029,,,78049,0,197,0,Intro to 21St Cent Archaeology,Other,,,,,
ACLSX3450,,,4851,4,316,0,Women and Leadership,Other,,,,,
ACLSX3998,,,9746,4,88,0,Interdisciplinary Senior Sem,Other,,,,,
ACTUK4620,,,21200,3,211,0,Pensions and Erisa,Other,,,,,
ACTUK4625,,,23868,3,275,0,Topics: Health Insurance,Other,,,,,
ACTUK4821,,,12527,3,655,0,Actuarial Methods,Other,,,,,
ACTUK4822,,,92096,3,292,0,Actuarial Methods II,Other,,,,,
ACTUK4823,,,64989,3,517,0,Actuarial Models,Other,,,,,
ACTUK4830,,,71448,3,511,0,Stochastic Proc-Actuarial Sci,Other,,,,,
ACTUK4850,,,81999,1,309,0,Oral Comm For Actuarial Prof,Other,,,,,
ACTUK4870,,,81547,3,42,0,Enterprise Risk Management,Other,,,,,
ACTUK4900,,,29720,2,1718,0,Proseminar In Actuarial Sci,Other,,,,,
ACTUK4995,,,65796,2,256,0,Internship In Actuarial Sci,Other,,,,,
ACTUK5100,,,17071,3,119,0,Integ Proj In Actu Sci,Other,,,,,
ACTUK8020,,,12045,3,6,0,Pensions,Other,,,,,
ACTUK8030,,,16560,3,69,0,Intro to Life Insurance,Other,,,,,
AFASC3930,,,68000,4,612,0,Maroon Societies In The,Other,,,,,
AFASC3936,,,11851,4,100,0,Seminar: Black Intellectu,Other,,,,,
AFASC3997,,,11790,1,6,0,Independent Study-Non Afam,Other,,,,,
AFASC3998,,,88035,4,41,0,Independent Stdy-Undergraduate,Other,,,,,
AFASG4080,,,18347,4,588,0,African-Amer Historiograp,Other,,,,,
AFASG4120,,,23152,4,9,0,Racial Disparities: Causes/Conseq,Other,,,,,
AFASW4032,,,74535,4,77,0,Image/Ident-Contemp Advertisng,Other,,,,,
AFASG4993,,,69348,2,25,0,Editorial and Writing Colloquium,Other,,,,,
AFCVC1020,,,84030,4,539,0,African Civilization,Other,,,,,
AFRSX2006,,,7625,3,124,0,Introduction African Diaspora,Other,,,,,
AFRSX3001,,,4553,1,33,0,Gender and Sexuality Southern Afr,Other,,,,,
AFRSX3099,,,1964,3,15,0,Independent Study,Other,,,,,
AFRSX3121,,,8493,4,51,0,Black Women In America,Other,,,,,
AFRSX3134,,,3972,4,33,0,Unheard Voices: African Women,Other,,,,,
AFRSX3528,,,6044,4,93,0,Hist Cult Polit Econ Harlem,Other,,,,,
AFRSX3562,,,2388,4,45,0,Caribbean Sexualities,Other,,,,,
